Protein_ID	Cancer Driver
DICER1-203	Census, Compendium
HNRNPA2B1-232	Census, Compendium
AFF3-205	Census, Compendium
TSC1-201	Census, Compendium
NTRK3-205	Census, Compendium
PDE4DIP-259	Census, Compendium
HNRNPA2B1-203	Census, Compendium
ESR1-204	Census, Compendium
BRCA1-211	Census, Compendium
RAD21-207	Census, Compendium
MAX-202	Census, Compendium
TAF15-214	Census, Compendium
TEC-202	Census, Compendium
BRD4-210	Census, Compendium
PDGFRA-204	Census, Compendium
BCL11A-213	Census, Compendium
PMS2-216	Census, Compendium
NF1-231	Census, Compendium
ARID2-201	Census, Compendium
TNFAIP3-201	Census, Compendium
BCOR-209	Census, Compendium
TP53-219	Census, Compendium
CTNNB1-254	Census, Compendium
NONO-207	Census, Compendium
DROSHA-201	Census, Compendium
TCF7L2-216	Census, Compendium
LATS1-207	Census, Compendium
IRF4-206	Census, Compendium
CHEK2-202	Census, Compendium
BTK-210	Census, Compendium
NOTCH1-204	Census, Compendium
PIK3CA-203	Census, Compendium
ZBTB16-217	Census, Compendium
ID3-201	Census, Compendium
DDX3X-236	Census, Compendium
BCL9-204	Census, Compendium
KDM5C-218	Census, Compendium
CTNNB1-233	Census, Compendium
CAMTA1-210	Census, Compendium
HLA-A-219	Census, Compendium
TSC2-227	Census, Compendium
NFATC2-203	Census, Compendium
NRG1-201	Census, Compendium
ARAF-202	Census, Compendium
SETD2-209	Census, Compendium
IKZF1-201	Census, Compendium
ARID2-202	Census, Compendium
ETV5-206	Census, Compendium
KDM5A-201	Census, Compendium
KMT2C-215	Census, Compendium
KIT-208	Census, Compendium
SETD2-202	Census, Compendium
KAT6B-235	Census, Compendium
IL6ST-224	Census, Compendium
PBRM1-221	Census, Compendium
TP63-210	Census, Compendium
KAT6B-217	Census, Compendium
PMS2-237	Census, Compendium
RGS7-204	Census, Compendium
CTNNB1-204	Census, Compendium
BRCA2-201	Census, Compendium
BCOR-212	Census, Compendium
CHEK2-224	Census, Compendium
MDM2-224	Census, Compendium
SF3B1-204	Census, Compendium
BCL2-201	Census, Compendium
FANCD2-213	Census, Compendium
TFG-212	Census, Compendium
GNAS-261	Census, Compendium
GRIN2A-201	Census, Compendium
PRKCB-210	Census, Compendium
WAS-201	Census, Compendium
RAF1-244	Census, Compendium
RGS7-226	Census, Compendium
MALT1-201	Census, Compendium
ACVR1-204	Census, Compendium
TAF15-203	Census, Compendium
KEAP1-207	Census, Compendium
RAF1-221	Census, Compendium
CTNNB1-206	Census, Compendium
IRF4-201	Census, Compendium
RAF1-270	Census, Compendium
MED12-202	Census, Compendium
ZNF521-203	Census, Compendium
CNOT3-208	Census, Compendium
TET2-208	Census, Compendium
MYH9-221	Census, Compendium
FGFR3-204	Census, Compendium
KDM5C-222	Census, Compendium
RGS7-237	Census, Compendium
RGPD3-202	Census, Compendium
EPHA7-206	Census, Compendium
USP9X-211	Census, Compendium
MEN1-209	Census, Compendium
MSI2-201	Census, Compendium
NUMA1-233	Census, Compendium
CYSLTR2-202	Census, Compendium
POLD1-216	Census, Compendium
PBRM1-210	Census, Compendium
MLLT3-209	Census, Compendium
NUMA1-224	Census, Compendium
TFG-208	Census, Compendium
ERBB3-219	Census, Compendium
WNK2-204	Census, Compendium
ESR1-203	Census, Compendium
LZTR1-223	Census, Compendium
BCL2-202	Census, Compendium
ATM-240	Census, Compendium
KAT6A-202	Census, Compendium
RAP1GDS1-202	Census, Compendium
STAT5B-219	Census, Compendium
JAK3-201	Census, Compendium
USP44-201	Census, Compendium
JAK3-204	Census, Compendium
KEAP1-209	Census, Compendium
PTPN11-208	Census, Compendium
RNF213-220	Census, Compendium
STAG2-207	Census, Compendium
STAT6-222	Census, Compendium
ETV5-202	Census, Compendium
GNA11-201	Census, Compendium
MYH9-215	Census, Compendium
XPO1-224	Census, Compendium
PTPRD-203	Census, Compendium
ATM-203	Census, Compendium
XPO1-206	Census, Compendium
NPM1-219	Census, Compendium
FLT4-206	Census, Compendium
MDM2-225	Census, Compendium
WNK2-205	Census, Compendium
PABPC1-222	Census, Compendium
PRKAR1A-218	Census, Compendium
XPO1-248	Census, Compendium
KAT6A-201	Census, Compendium
KDM6A-228	Census, Compendium
SIX1-205	Census, Compendium
ZRSR2-205	Census, Compendium
HLA-A-222	Census, Compendium
RUNX1T1-202	Census, Compendium
JAK3-202	Census, Compendium
MSI2-224	Census, Compendium
RUNX1T1-226	Census, Compendium
DDX3X-242	Census, Compendium
USP44-202	Census, Compendium
STAT3-231	Census, Compendium
EXT2-214	Census, Compendium
AFF1-202	Census, Compendium
SPOP-213	Census, Compendium
CDH11-202	Census, Compendium
CD79B-202	Census, Compendium
DDB2-211	Census, Compendium
CXCR4-205	Census, Compendium
PTPN13-209	Census, Compendium
ACSL3-234	Census, Compendium
TRRAP-202	Census, Compendium
AMER1-201	Census, Compendium
HRAS-206	Census, Compendium
RAF1-220	Census, Compendium
B2M-209	Census, Compendium
KDM5C-204	Census, Compendium
IDH1-206	Census, Compendium
MED12-203	Census, Compendium
MALT1-210	Census, Compendium
DDX3X-244	Census, Compendium
ERBB2-201	Census, Compendium
FOXL2-201	Census, Compendium
SOX21-201	Census, Compendium
NSD2-227	Census, Compendium
IDH1-202	Census, Compendium
MLLT1-201	Census, Compendium
DCC-202	Census, Compendium
BCL11A-211	Census, Compendium
KMT2A-201	Census, Compendium
FBXO11-201	Census, Compendium
CHEK2-209	Census, Compendium
DAXX-204	Census, Compendium
SPOP-210	Census, Compendium
NTRK1-212	Census, Compendium
CASP8-211	Census, Compendium
EPS15-216	Census, Compendium
LPP-206	Census, Compendium
MYC-202	Census, Compendium
RNF213-204	Census, Compendium
CHEK2-212	Census, Compendium
POLD1-201	Census, Compendium
RAF1-201	Census, Compendium
HNRNPA2B1-243	Census, Compendium
TSC2-222	Census, Compendium
FANCA-237	Census, Compendium
CDKN2A-208	Census, Compendium
NIN-214	Census, Compendium
BRCA1-209	Census, Compendium
EIF3E-239	Census, Compendium
AXIN2-203	Census, Compendium
STAT6-202	Census, Compendium
FGFR1-208	Census, Compendium
NBEA-244	Census, Compendium
BMPR1A-205	Census, Compendium
EML4-202	Census, Compendium
ENST00000427497	Census, Compendium
NCOR2-205	Census, Compendium
KMT2A-232	Census, Compendium
PDE4DIP-203	Census, Compendium
TP53-201	Census, Compendium
MED12-233	Census, Compendium
BCOR-206	Census, Compendium
SLC45A3-201	Census, Compendium
CYLD-201	Census, Compendium
TSC2-248	Census, Compendium
BRAF-220	Census, Compendium
NUP214-202	Census, Compendium
BRCA1-230	Census, Compendium
FAT3-201	Census, Compendium
FANCA-204	Census, Compendium
MED12-225	Census, Compendium
PMS2-258	Census, Compendium
STAG2-203	Census, Compendium
NOTCH1-214	Census, Compendium
CTCF-212	Census, Compendium
WNK2-201	Census, Compendium
CASP8-218	Census, Compendium
BCLAF1-213	Census, Compendium
TSC2-228	Census, Compendium
KAT6A-215	Census, Compendium
CLTC-201	Census, Compendium
CPEB3-201	Census, Compendium
SMARCA4-239	Census, Compendium
CLIP1-219	Census, Compendium
SPOP-219	Census, Compendium
SETD1B-203	Census, Compendium
CYLD-207	Census, Compendium
SUZ12-201	Census, Compendium
MED12-234	Census, Compendium
FAS-238	Census, Compendium
HLA-A-218	Census, Compendium
NFE2L2-201	Census, Compendium
HNRNPA2B1-241	Census, Compendium
PTPN6-223	Census, Compendium
NTRK1-203	Census, Compendium
BRCA1-206	Census, Compendium
HRAS-210	Census, Compendium
DICER1-220	Census, Compendium
GNAS-217	Census, Compendium
AFF1-201	Census, Compendium
AKT1-213	Census, Compendium
KMT2C-234	Census, Compendium
STAG2-206	Census, Compendium
CTNNB1-219	Census, Compendium
BCOR-210	Census, Compendium
CDK12-201	Census, Compendium
CXCR4-201	Census, Compendium
FOXP1-239	Census, Compendium
STAG2-208	Census, Compendium
AXIN2-206	Census, Compendium
HNRNPA2B1-245	Census, Compendium
STAT6-206	Census, Compendium
ENST00000704381	Census, Compendium
TSC1-213	Census, Compendium
FBXW7-204	Census, Compendium
PMS2-270	Census, Compendium
FGFR2-210	Census, Compendium
FGFR2-206	Census, Compendium
GATA1-204	Census, Compendium
MYD88-211	Census, Compendium
GATA2-208	Census, Compendium
PTEN-201	Census, Compendium
JAK1-201	Census, Compendium
HIP1-207	Census, Compendium
RHOA-209	Census, Compendium
AKT3-201	Census, Compendium
POT1-201	Census, Compendium
GATA2-210	Census, Compendium
SMAD2-204	Census, Compendium
RAP1GDS1-205	Census, Compendium
BRCA2-203	Census, Compendium
PRKAR1A-211	Census, Compendium
CYP2C8-201	Census, Compendium
AKT3-222	Census, Compendium
PSIP1-204	Census, Compendium
CHD4-216	Census, Compendium
TEC-201	Census, Compendium
FOXP1-254	Census, Compendium
MYD88-209	Census, Compendium
PTPN13-206	Census, Compendium
RAD21-203	Census, Compendium
AKT3-217	Census, Compendium
WRN-201	Census, Compendium
JAK1-214	Census, Compendium
DAXX-210	Census, Compendium
STAT5B-210	Census, Compendium
GRIN2A-212	Census, Compendium
NTRK1-206	Census, Compendium
RUNX1T1-215	Census, Compendium
ETV4-203	Census, Compendium
NONO-224	Census, Compendium
ESR1-210	Census, Compendium
FANCD2-212	Census, Compendium
PLCG1-202	Census, Compendium
PTCH1-206	Census, Compendium
CDK12-202	Census, Compendium
STAT3-227	Census, Compendium
ZBTB16-214	Census, Compendium
ETV4-201	Census, Compendium
MYCN-201	Census, Compendium
QKI-203	Census, Compendium
SET-204	Census, Compendium
HNRNPA2B1-239	Census, Compendium
STRN-201	Census, Compendium
SGK1-205	Census, Compendium
ATM-246	Census, Compendium
CHEK2-216	Census, Compendium
PMS2-214	Census, Compendium
BCR-202	Census, Compendium
ZNRF3-203	Census, Compendium
CTNNB1-230	Census, Compendium
DICER1-215	Census, Compendium
ERCC2-201	Census, Compendium
BCLAF1-207	Census, Compendium
HNRNPA2B1-201	Census, Compendium
MYH11-211	Census, Compendium
PTPRT-205	Census, Compendium
SMAD2-203	Census, Compendium
KAT6A-208	Census, Compendium
MAX-216	Census, Compendium
PMS2-267	Census, Compendium
DDX3X-218	Census, Compendium
RGS7-249	Census, Compendium
BRCA1-221	Census, Compendium
CRTC1-201	Census, Compendium
PRKAR1A-203	Census, Compendium
ACSL3-235	Census, Compendium
KAT6B-234	Census, Compendium
SETBP1-207	Census, Compendium
PLCG1-223	Census, Compendium
NKX2-1-202	Census, Compendium
CYLD-208	Census, Compendium
ARHGEF12-213	Census, Compendium
NFE2L2-247	Census, Compendium
HNRNPA2B1-221	Census, Compendium
NTRK3-216	Census, Compendium
APC-209	Census, Compendium
RALGDS-201	Census, Compendium
SETD1B-201	Census, Compendium
MYO5A-209	Census, Compendium
AXIN2-207	Census, Compendium
HNRNPA2B1-223	Census, Compendium
STAT3-244	Census, Compendium
CASP8-220	Census, Compendium
STAT3-223	Census, Compendium
ACVR1-214	Census, Compendium
POT1-230	Census, Compendium
CTNNB1-225	Census, Compendium
RABEP1-202	Census, Compendium
STAT3-219	Census, Compendium
CIITA-201	Census, Compendium
ZBTB16-211	Census, Compendium
TRIM33-201	Census, Compendium
RBM15-209	Census, Compendium
VHL-205	Census, Compendium
DICER1-221	Census, Compendium
EIF3E-248	Census, Compendium
ACSL3-223	Census, Compendium
XPC-201	Census, Compendium
AR-207	Census, Compendium
ERG-201	Census, Compendium
MYO5A-205	Census, Compendium
NBEA-202	Census, Compendium
ZBTB16-219	Census, Compendium
DDB2-208	Census, Compendium
FANCC-201	Census, Compendium
ATRX-206	Census, Compendium
CHD4-248	Census, Compendium
RUNX1-201	Census, Compendium
PMS2-259	Census, Compendium
EIF3E-226	Census, Compendium
TSC2-243	Census, Compendium
TP53-207	Census, Compendium
ALK-201	Census, Compendium
CDK4-214	Census, Compendium
JAK2-204	Census, Compendium
TP53-218	Census, Compendium
EIF3E-201	Census, Compendium
CEBPA-201	Census, Compendium
IDH1-201	Census, Compendium
JAK1-231	Census, Compendium
NONO-204	Census, Compendium
MYH9-202	Census, Compendium
FAS-251	Census, Compendium
ZNF521-207	Census, Compendium
HSP90AB1-202	Census, Compendium
CHD4-231	Census, Compendium
JAK1-229	Census, Compendium
NFE2L2-226	Census, Compendium
STAG2-201	Census, Compendium
RAF1-243	Census, Compendium
APC-202	Census, Compendium
FUBP1-202	Census, Compendium
EZH2-203	Census, Compendium
FOXP1-257	Census, Compendium
ERCC3-210	Census, Compendium
CXCR4-204	Census, Compendium
WAS-208	Census, Compendium
BCL9L-202	Census, Compendium
KEAP1-202	Census, Compendium
DICER1-217	Census, Compendium
TNFRSF14-201	Census, Compendium
HNRNPA2B1-213	Census, Compendium
IRF4-204	Census, Compendium
ATR-201	Census, Compendium
PTPRB-201	Census, Compendium
RUNX1-218	Census, Compendium
MYD88-203	Census, Compendium
IKZF1-219	Census, Compendium
CTNNB1-228	Census, Compendium
NFATC2-201	Census, Compendium
RHOA-208	Census, Compendium
CBL-201	Census, Compendium
KEAP1-208	Census, Compendium
KIT-209	Census, Compendium
PIK3CB-203	Census, Compendium
BRCA1-237	Census, Compendium
GMPS-203	Census, Compendium
MYC-205	Census, Compendium
USP8-218	Census, Compendium
SF3B1-214	Census, Compendium
BRAF-204	Census, Compendium
LPP-207	Census, Compendium
ARHGAP5-209	Census, Compendium
PPP2R1A-221	Census, Compendium
TBL1XR1-201	Census, Compendium
MYO5A-211	Census, Compendium
KLF4-201	Census, Compendium
ZBTB16-218	Census, Compendium
HOXC13-201	Census, Compendium
UBR5-201	Census, Compendium
RET-202	Census, Compendium
FOXA1-201	Census, Compendium
CHD4-201	Census, Compendium
CHD4-206	Census, Compendium
FGFR1-214	Census, Compendium
MYH11-202	Census, Compendium
PTPRT-206	Census, Compendium
ARID1A-201	Census, Compendium
SOCS1-201	Census, Compendium
STAG2-204	Census, Compendium
FAT3-204	Census, Compendium
AKT3-211	Census, Compendium
BRCA2-210	Census, Compendium
BAP1-201	Census, Compendium
PPM1D-212	Census, Compendium
ATM-222	Census, Compendium
KMT2C-224	Census, Compendium
CDK4-201	Census, Compendium
CTNNB1-252	Census, Compendium
NF2-207	Census, Compendium
NFKBIE-201	Census, Compendium
NSD2-205	Census, Compendium
CRTC1-202	Census, Compendium
RUNX1-202	Census, Compendium
RNF43-208	Census, Compendium
GNAS-215	Census, Compendium
MECOM-217	Census, Compendium
CD79B-201	Census, Compendium
TSC2-203	Census, Compendium
HNRNPA2B1-226	Census, Compendium
MAP2K4-202	Census, Compendium
TFG-227	Census, Compendium
ZBTB16-202	Census, Compendium
HNRNPA2B1-202	Census, Compendium
SRSF2-204	Census, Compendium
POLE-208	Census, Compendium
ACVR1-218	Census, Compendium
RAF1-269	Census, Compendium
LIFR-205	Census, Compendium
KAT6B-222	Census, Compendium
TFG-211	Census, Compendium
BRCA1-213	Census, Compendium
SMAD3-215	Census, Compendium
CHD2-201	Census, Compendium
ARHGEF10-205	Census, Compendium
NSD2-219	Census, Compendium
ERBB3-201	Census, Compendium
KMT2D-233	Census, Compendium
BCL11A-204	Census, Compendium
IKBKB-209	Census, Compendium
AR-203	Census, Compendium
RUNX1-207	Census, Compendium
NFE2L2-244	Census, Compendium
ENST00000648100	Census, Compendium
BTK-201	Census, Compendium
ZRSR2-201	Census, Compendium
RUNX1T1-220	Census, Compendium
STAT3-222	Census, Compendium
RANBP2-205	Census, Compendium
NUMA1-223	Census, Compendium
RAD21-202	Census, Compendium
EPHA3-202	Census, Compendium
FHIT-207	Census, Compendium
CDKN2C-203	Census, Compendium
PHF6-204	Census, Compendium
STAT3-215	Census, Compendium
GATA2-201	Census, Compendium
TSC2-231	Census, Compendium
DAXX-202	Census, Compendium
XPO1-201	Census, Compendium
PDGFRA-203	Census, Compendium
AXIN2-201	Census, Compendium
AKT1-218	Census, Compendium
STAG2-227	Census, Compendium
MLLT3-202	Census, Compendium
KIT-216	Census, Compendium
BCL7A-201	Census, Compendium
FBXW7-206	Census, Compendium
PPM1D-209	Census, Compendium
IKBKB-219	Census, Compendium
MET-203	Census, Compendium
TRIP11-201	Census, Compendium
PLAG1-203	Census, Compendium
FOXP1-244	Census, Compendium
EBF1-201	Census, Compendium
CLTC-213	Census, Compendium
LATS2-201	Census, Compendium
FOXO3-201	Census, Compendium
TET2-209	Census, Compendium
NIN-202	Census, Compendium
TRRAP-204	Census, Compendium
STAT6-205	Census, Compendium
POT1-226	Census, Compendium
SPOP-225	Census, Compendium
ERG-208	Census, Compendium
BTK-220	Census, Compendium
TP53-204	Census, Compendium
AFF3-203	Census, Compendium
RANBP2-201	Census, Compendium
NPM1-204	Census, Compendium
HNRNPA2B1-249	Census, Compendium
KAT6B-239	Census, Compendium
CDH1-201	Census, Compendium
RUNX1T1-241	Census, Compendium
PABPC1-215	Census, Compendium
TFG-202	Census, Compendium
DICER1-216	Census, Compendium
SMAD4-201	Census, Compendium
GRIN2A-206	Census, Compendium
ZEB1-202	Census, Compendium
ACVR1-208	Census, Compendium
SMC1A-202	Census, Compendium
RUNX1T1-213	Census, Compendium
USP6-205	Census, Compendium
BRD4-203	Census, Compendium
ELN-235	Census, Compendium
SPOP-205	Census, Compendium
PPP2R1A-203	Census, Compendium
DDX3X-220	Census, Compendium
HLA-A-202	Census, Compendium
HNF1A-211	Census, Compendium
TSC2-233	Census, Compendium
NCOR2-206	Census, Compendium
SMAD2-210	Census, Compendium
DAXX-211	Census, Compendium
DDX3X-257	Census, Compendium
PBRM1-205	Census, Compendium
USP8-215	Census, Compendium
CYSLTR2-201	Census, Compendium
PPM1D-204	Census, Compendium
STAT3-217	Census, Compendium
KDM5C-208	Census, Compendium
SMAD4-206	Census, Compendium
RB1-208	Census, Compendium
SETDB1-219	Census, Compendium
ATRX-201	Census, Compendium
EML4-201	Census, Compendium
PMS2-257	Census, Compendium
BCL11A-205	Census, Compendium
CHEK2-211	Census, Compendium
RUNX1T1-201	Census, Compendium
CUL3-201	Census, Compendium
CTNNB1-216	Census, Compendium
EP300-212	Census, Compendium
DICER1-204	Census, Compendium
CACNA1D-203	Census, Compendium
CYLD-214	Census, Compendium
CTNNB1-235	Census, Compendium
IL7R-205	Census, Compendium
BRCA2-202	Census, Compendium
FGFR1-202	Census, Compendium
MDM2-212	Census, Compendium
PDE4DIP-236	Census, Compendium
ZFHX3-208	Census, Compendium
DDX3X-260	Census, Compendium
FHIT-204	Census, Compendium
STAT3-216	Census, Compendium
RB1-209	Census, Compendium
SETDB1-205	Census, Compendium
UBR5-207	Census, Compendium
ARID1B-202	Census, Compendium
XPO1-246	Census, Compendium
DDX6-202	Census, Compendium
TFG-234	Census, Compendium
MSN-201	Census, Compendium
AKT3-202	Census, Compendium
MEN1-219	Census, Compendium
PIK3CA-204	Census, Compendium
STAT3-245	Census, Compendium
TFG-207	Census, Compendium
SDC4-201	Census, Compendium
TSC2-204	Census, Compendium
KIF5B-201	Census, Compendium
MYO5A-247	Census, Compendium
HNRNPA2B1-222	Census, Compendium
NRG1-222	Census, Compendium
NCOA2-202	Census, Compendium
CTNNB1-209	Census, Compendium
SMARCA4-223	Census, Compendium
JAK1-207	Census, Compendium
CAMTA1-201	Census, Compendium
NFE2L2-255	Census, Compendium
BRCA2-206	Census, Compendium
JAK1-218	Census, Compendium
CARD11-202	Census, Compendium
CDH11-206	Census, Compendium
NFE2L2-254	Census, Compendium
CTCF-217	Census, Compendium
TNFRSF14-207	Census, Compendium
HNRNPA2B1-210	Census, Compendium
TSC2-249	Census, Compendium
NUMA1-205	Census, Compendium
BCL6-204	Census, Compendium
ZNF521-202	Census, Compendium
RHOA-210	Census, Compendium
SMARCA4-203	Census, Compendium
KMT2A-209	Census, Compendium
LPP-222	Census, Compendium
MYC-210	Census, Compendium
TNFRSF14-204	Census, Compendium
ETV5-203	Census, Compendium
JAK1-219	Census, Compendium
HLA-A-221	Census, Compendium
STAT5B-212	Census, Compendium
DDX3X-224	Census, Compendium
STAG2-209	Census, Compendium
PTPRD-210	Census, Compendium
RUNX1T1-225	Census, Compendium
EIF1AX-202	Census, Compendium
GATA3-202	Census, Compendium
PABPC1-231	Census, Compendium
PDCD1LG2-201	Census, Compendium
AKT1-221	Census, Compendium
CLTC-202	Census, Compendium
ABL2-209	Census, Compendium
P2RY8-204	Census, Compendium
RET-207	Census, Compendium
MEN1-206	Census, Compendium
CBFA2T3-201	Census, Compendium
ZEB1-204	Census, Compendium
PDGFRA-210	Census, Compendium
ETV4-202	Census, Compendium
TAF15-210	Census, Compendium
DDX3X-238	Census, Compendium
XPO1-220	Census, Compendium
CDH11-209	Census, Compendium
HNRNPA2B1-240	Census, Compendium
EIF3E-246	Census, Compendium
CDH11-204	Census, Compendium
CTNNB1-244	Census, Compendium
HLA-A-201	Census, Compendium
CNOT3-211	Census, Compendium
CDC73-213	Census, Compendium
RPL10-202	Census, Compendium
NF1-236	Census, Compendium
IDH1-203	Census, Compendium
RAF1-227	Census, Compendium
USP9X-202	Census, Compendium
CXCR4-206	Census, Compendium
FHIT-205	Census, Compendium
HRAS-201	Census, Compendium
PPM1D-201	Census, Compendium
ACVR1-219	Census, Compendium
NFKB2-203	Census, Compendium
PREX2-201	Census, Compendium
FAS-203	Census, Compendium
NF2-209	Census, Compendium
CDC73-201	Census, Compendium
PPM1D-213	Census, Compendium
MDM2-207	Census, Compendium
RUNX1T1-203	Census, Compendium
CHD2-208	Census, Compendium
NCOA1-205	Census, Compendium
CRNKL1-202	Census, Compendium
FAT1-201	Census, Compendium
XPO1-255	Census, Compendium
CACNA1D-206	Census, Compendium
FAS-254	Census, Compendium
PMS2-224	Census, Compendium
RUNX1T1-209	Census, Compendium
NFATC2-202	Census, Compendium
CUX1-213	Census, Compendium
RGS7-242	Census, Compendium
PBRM1-213	Census, Compendium
IL6ST-204	Census, Compendium
NRAS-201	Census, Compendium
BAP1-210	Census, Compendium
NOTCH1-213	Census, Compendium
AFF3-208	Census, Compendium
ZBTB16-208	Census, Compendium
STAT6-201	Census, Compendium
FGFR2-202	Census, Compendium
CLTCL1-209	Census, Compendium
EZH2-209	Census, Compendium
STAT5B-221	Census, Compendium
ZEB1-217	Census, Compendium
IL7R-210	Census, Compendium
NONO-223	Census, Compendium
DICER1-202	Census, Compendium
FANCD2-204	Census, Compendium
STAT3-224	Census, Compendium
HNRNPA2B1-247	Census, Compendium
HSP90AB1-201	Census, Compendium
DDX3X-219	Census, Compendium
SMAD2-208	Census, Compendium
MYC-211	Census, Compendium
ARHGEF12-202	Census, Compendium
FGFR1-226	Census, Compendium
KDR-201	Census, Compendium
RAF1-214	Census, Compendium
RALGDS-203	Census, Compendium
SMARCB1-204	Census, Compendium
FANCF-201	Census, Compendium
XPO1-234	Census, Compendium
IKBKB-210	Census, Compendium
RUNX1T1-245	Census, Compendium
KMT2C-248	Census, Compendium
NF2-212	Census, Compendium
EZH2-201	Census, Compendium
CDK4-207	Census, Compendium
ASXL1-201	Census, Compendium
SOCS1-202	Census, Compendium
XPO1-205	Census, Compendium
KIT-218	Census, Compendium
MYH11-201	Census, Compendium
RAP1GDS1-212	Census, Compendium
TP63-204	Census, Compendium
RAF1-203	Census, Compendium
PTPRK-221	Census, Compendium
CHD4-218	Census, Compendium
QKI-205	Census, Compendium
PTPN6-202	Census, Compendium
FAT4-202	Census, Compendium
ERCC3-213	Census, Compendium
JAK1-211	Census, Compendium
PBRM1-209	Census, Compendium
MEN1-210	Census, Compendium
HNRNPA2B1-244	Census, Compendium
EPHA7-202	Census, Compendium
NFE2L2-240	Census, Compendium
RAF1-202	Census, Compendium
POLD1-203	Census, Compendium
TSC1-239	Census, Compendium
MTCP1-202	Census, Compendium
FGFR2-207	Census, Compendium
JAK1-230	Census, Compendium
ATR-207	Census, Compendium
PRKAR1A-215	Census, Compendium
KDM6A-214	Census, Compendium
RAF1-249	Census, Compendium
BIRC6-214	Census, Compendium
BMPR1A-203	Census, Compendium
PABPC1-220	Census, Compendium
ASXL1-220	Census, Compendium
FOXP1-251	Census, Compendium
NFKB2-204	Census, Compendium
PBRM1-201	Census, Compendium
BCR-201	Census, Compendium
MDM2-219	Census, Compendium
